"time","date","flight_time","depth","heading","battery_remaining","lat","lon","satellite_count","temp","seq","avg_dist","avg_conf","EucDIS","clock","clock_min","lat_smooth","lon_smooth","EucSmooth"
"11:02:27","3/30/2023","00:16:52",-6.27888,247,83,47.6301536,-122.3980941,10,46.38,16.9,0.858,100,0,47,0.783333333333333,47.630151133355,-122.398097349546,0.104847167196762
"11:02:28","3/30/2023","00:16:53",-6.2484,245,83,47.6301536,-122.3980941,10,46.38,16.9166666666667,0.864666666666667,100,0,48,0.8,47.6301503445401,-122.398096598759,0.104248053226906
"11:02:29","3/30/2023","00:16:54",-6.2484,245,83,47.6301536,-122.3980865,10,46.38,16.9333333333333,0.873777777777778,100,0.570980333334904,49,0.816666666666667,47.6301495811454,-122.398095802041,0.10383379203566
"11:02:30","3/30/2023","00:16:55",-6.18744,245,83,47.6301536,-122.3980865,10,46.36,16.95,0.895666666666667,100,0,50,0.833333333333333,47.6301488435306,-122.398094958547,0.103617134547752
"11:02:31","3/30/2023","00:16:56",-6.06552,246,83,47.6301536,-122.3980865,10,46.38,16.9666666666667,0.952555555555556,100,0,51,0.85,47.6301481319866,-122.398094067585,0.103607640032892
"11:02:32","3/30/2023","00:16:57",-5.97408,245,83,47.6301536,-122.3980865,10,46.38,16.9833333333333,1.04411111111111,100,0,52,0.866666666666667,47.6301474467344,-122.398093128612,0.103811397906556
"11:02:33","3/30/2023","00:16:58",-5.9436,245,83,47.6301536,-122.3980789,10,46.4,17,1.12488888888889,100,0.57098033353579,53,0.883333333333333,47.630146787926,-122.398092141235,0.104230823817958
"11:02:34","3/30/2023","00:16:59",-5.9436,245,83,47.6301536,-122.3980789,10,46.38,17.0166666666667,1.16388888888889,100,0,54,0.9,47.630146155644,-122.398091105215,0.104864544307838
"11:02:35","3/30/2023","00:17:00",-6.096,246,83,47.6301498,-122.3980789,10,46.4,17.0333333333333,1.13811111111111,100,0.422337489863827,55,0.916666666666667,47.6301455499015,-122.398090020461,0.105707514374601
"11:02:36","3/30/2023","00:17:01",-6.21792,245,83,47.6301498,-122.3980789,10,46.38,17.05,1.0492,100,0,56,0.933333333333333,47.6301449706425,-122.398088887034,0.106751190928512
"11:02:37","3/30/2023","00:17:02",-6.2484,245,83,47.6301498,-122.3980789,10,46.38,17.0666666666667,0.958666666666667,100,0,57,0.95,47.6301444177415,-122.398087705146,0.107983852381868
"11:02:38","3/30/2023","00:17:03",-6.2484,245,83,47.6301498,-122.3980789,10,46.38,17.0833333333333,0.921333333333333,100,0,58,0.966666666666667,47.6301438910035,-122.39808647516,0.109390957931879
"11:02:39","3/30/2023","00:17:04",-6.18744,254,83,47.6301498,-122.3980789,10,46.38,17.1,0.919888888888889,100,0,59,0.983333333333333,47.6301433901646,-122.39808519759,0.110955552346079
"11:02:40","3/30/2023","00:17:05",-6.15696,253,83,47.6301498,-122.3980712,10,46.4,17.1166666666667,0.923555555555556,100,0.578493276742609,60,1,47.630142914891,-122.3980838731,0.112658746001124
"11:02:41","3/30/2023","00:17:06",-6.18744,252,83,47.6301498,-122.3980712,10,46.4,17.1333333333333,0.914888888888889,100,0,61,1.01666666666667,47.63014246478,-122.398082502505,0.114480181644336
"11:02:42","3/30/2023","00:17:07",-6.21792,252,83,47.6301498,-122.3980636,10,46.4,17.15,0.899111111111111,100,0.570980375736648,62,1.03333333333333,47.6301420393594,-122.398081086772,0.116398354472059
"11:02:43","3/30/2023","00:17:08",-6.21792,253,83,47.630146,-122.3980712,10,46.38,17.1666666666667,0.888888888888889,100,0.710202483756892,63,1.05,47.6301416380875,-122.398079627019,0.118391074927793
"11:02:44","3/30/2023","00:17:09",-6.12648,253,83,47.630146,-122.3980712,10,46.38,17.1833333333333,0.911222222222222,100,0,64,1.06666666666667,47.6301412603535,-122.398078124513,0.120435796783829
