meter_number,timestamp,strftime,cumulative_dist,step_distance_m,gap_seconds,quality_flag,x,y
33,1738001397.101815,2025_01_27_10-09-57,33.0003,0.0303,0.33,good,1.5133697321100985,-2.8219700197675337
34,1738001407.881063,2025_01_27_10-10-07,34.0209,0.032,0.33,good,2.438786218142072,-3.251924098427616
35,1738001417.973406,2025_01_27_10-10-17,35.0115,0.0341,0.33,good,3.3108593492365594,-3.7215277021797144
36,1738001427.598989,2025_01_27_10-10-27,36.0149,0.0346,0.34,good,4.1626591498578955,-4.251374286205614
37,1738001437.040815,2025_01_27_10-10-37,37.0025,0.0354,0.33,good,4.969240945370043,-4.821103251395534
38,1738001446.430874,2025_01_27_10-10-46,38.0313,0.0353,0.33,good,5.776419740411179,-5.458805353487309
39,1738001455.923512,2025_01_27_10-10-55,39.0131,0.0354,0.33,good,6.510770972095319,-6.110084880050735
40,1738001465.54792,2025_01_27_10-11-05,40.0178,0.0339,0.33,good,7.213571769088062,-6.827838669961958
41,1738001475.609629,2025_01_27_10-11-15,41.0084,0.0321,0.33,good,7.86277180050143,-7.5757377515384805
42,1738001486.154643,2025_01_27_10-11-26,42.0178,0.0308,0.33,good,8.462910400694282,-8.387076819120947
43,1738001497.215893,2025_01_27_10-11-37,43.0106,0.0292,0.33,good,9.024152264666201,-9.206008597986022
44,1738001508.936576,2025_01_27_10-11-48,44.0049,0.0279,0.33,good,9.59008385767391,-10.02351884462347
45,1738001520.802324,2025_01_27_10-12-00,45.0149,0.0278,0.34,good,10.222303205461644,-10.810271177718889
46,1738001532.896432,2025_01_27_10-12-12,46.0058,0.0275,0.33,good,10.933426638740805,-11.499738000518647
47,1738001544.932464,2025_01_27_10-12-24,47.0019,0.0276,0.33,good,11.717741420612999,-12.11284791177778
48,1738001557.056708,2025_01_27_10-12-37,48.0177,0.0268,0.33,good,12.587354180824697,-12.637077369500155
49,1738001569.903033,2025_01_27_10-12-49,49.0026,0.0253,0.34,good,13.470561269503921,-13.072536117401881
50,1738001583.55432,2025_01_27_10-13-03,50.0021,0.0231,0.33,good,14.382278864656515,-13.482232658424188
51,1738001598.844435,2025_01_27_10-13-18,51.0039,0.0202,0.33,good,15.278301794137528,-13.929850402756117
52,1738001615.558761,2025_01_27_10-13-35,52.0202,0.0203,0.34,good,16.175833611939083,-14.40654511238212
53,1738001630.972114,2025_01_27_10-13-50,53.0162,0.0217,0.31,good,17.091617209401296,-14.79743538092618
54,1738001646.532734,2025_01_27_10-14-06,54.0215,0.022,0.33,good,18.021114956680222,-15.180210754052917
