Date,Time,Mode_num,Mode,Battery_V,Battery_A,Battery_W,Battery_mAh_used,Battery_Wh_used,Latitude,Longitude,EKFlat,EKFlon,DVLx,DVLy,DVLlat,DVLlon,Altitude,Depth,Depth_std,Depth_Source,Heading,Velocity_mps,Width,Area_m2,Distance,NEDz,VFR_alt
2026-05-12,09:18:01,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:18:02,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:18:03,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:18:04,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:18:05,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:18:06,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:18:07,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:18:08,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:18:09,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:18:10,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:18:11,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:18:12,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,3.35689115524292,0.0,0.0,0.0,,0.0
2026-05-12,09:18:13,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,3.35689115524292,0.0,0.0,0.0,,0.0
2026-05-12,09:18:14,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,3.35689115524292,0.0,0.0,0.0,,0.0
2026-05-12,09:18:15,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,3.35689115524292,0.0,0.0,0.0,,0.0
2026-05-12,09:18:16,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,3.35689115524292,0.0,0.0,0.0,,0.0
2026-05-12,09:18:17,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,3.35689115524292,0.0,0.0,0.0,,0.0
2026-05-12,09:18:18,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,3.35689115524292,0.0,0.0,0.0,,0.0
2026-05-12,09:18:19,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,3.35689115524292,0.0,0.0,0.0,,0.0
2026-05-12,09:18:20,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,3.35689115524292,0.0,0.0,0.0,,0.0
2026-05-12,09:18:21,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,3.35689115524292,0.0,0.0,0.0,,0.0
2026-05-12,09:18:22,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,3.35689115524292,0.0,0.0,0.0,,0.0
2026-05-12,09:18:23,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,3.35689115524292,0.0,0.0,0.0,,0.0
2026-05-12,09:18:24,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,3.35689115524292,0.0,0.0,0.0,,0.0
2026-05-12,09:18:25,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,2.9604735374450684,0.0,0.0,0.0,,0.0
2026-05-12,09:18:26,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,2.9604735374450684,0.0,0.0,0.0,,0.0
2026-05-12,09:18:27,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,2.9604735374450684,0.0,0.0,0.0,,0.0
2026-05-12,09:18:28,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,2.9604735374450684,0.0,0.0,0.0,,0.0
2026-05-12,09:18:29,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,2.9604735374450684,0.0,0.0,0.0,,0.0
2026-05-12,09:18:30,,UNKNOWN,0.0,0.0,0.0,69.0,0.9444444444444444,,,,,,,,,0.0,,,NEDz,0.0,2.9604735374450684,0.0,0.0,0.0,,0.0
2026-05-12,09:18:31,,UNKNOWN,0.0,0.0,0.0,69.0,0.9444444444444444,,,,,,,,,0.0,,,NEDz,0.0,2.9604735374450684,0.0,0.0,0.0,,0.0
2026-05-12,09:18:32,,UNKNOWN,0.0,0.0,0.0,69.0,0.9444444444444444,,,,,,,,,0.0,,,NEDz,105.147053479627,2.9604735374450684,0.0,0.0,0.0,,0.0
2026-05-12,09:18:33,,UNKNOWN,0.0,0.0,0.0,69.0,0.9444444444444444,,,,,,,,,0.0,,,NEDz,105.147053479627,2.9604735374450684,0.0,0.0,0.0,,0.0
2026-05-12,09:18:34,,UNKNOWN,0.0,0.0,0.0,69.0,0.9444444444444444,,,,,,,,,0.0,,,NEDz,105.147053479627,2.9604735374450684,0.0,0.0,0.0,,0.0
2026-05-12,09:18:35,,UNKNOWN,0.0,0.0,0.0,69.0,0.9444444444444444,,,,,,,,,0.0,,,NEDz,105.147053479627,2.9604735374450684,0.0,0.0,0.0,,0.0
2026-05-12,09:18:36,,UNKNOWN,0.0,0.0,0.0,69.0,0.9444444444444444,,,,,,,,,0.0,,,NEDz,105.147053479627,2.9604735374450684,0.0,0.0,0.0,,0.0
2026-05-12,09:18:37,,UNKNOWN,0.0,0.0,0.0,69.0,0.9444444444444444,,,,,,,,,0.0,,,NEDz,105.147053479627,2.9604735374450684,0.0,0.0,0.0,,0.0
2026-05-12,09:18:38,,UNKNOWN,0.0,0.0,0.0,69.0,0.9444444444444444,,,,,,,,,0.0,,,NEDz,105.147053479627,2.9604735374450684,0.0,0.0,0.0,,0.0
2026-05-12,09:18:39,,UNKNOWN,0.0,0.0,0.0,69.0,0.9444444444444444,,,,,,,,,0.0,,,NEDz,105.147053479627,2.9604735374450684,0.0,0.0,0.0,,0.0
2026-05-12,09:18:40,,UNKNOWN,0.0,0.0,0.0,69.0,0.9444444444444444,,,,,,,,,0.0,,,NEDz,105.147053479627,2.9604735374450684,0.0,0.0,0.0,,0.0
2026-05-12,09:18:41,,UNKNOWN,0.0,0.0,0.0,69.0,0.9444444444444444,,,,,,,,,0.0,,,NEDz,105.147053479627,2.9604735374450684,0.0,0.0,0.0,,0.0
2026-05-12,09:18:42,,UNKNOWN,0.0,0.0,0.0,69.0,0.9444444444444444,,,,,,,,,0.0,,,NEDz,105.147053479627,2.9604735374450684,0.0,0.0,0.0,,0.0
2026-05-12,09:18:43,,UNKNOWN,0.0,0.0,0.0,69.0,0.9444444444444444,,,,,,,,,0.0,,,NEDz,105.147053479627,2.9604735374450684,0.0,0.0,0.0,,0.0
2026-05-12,09:18:44,,UNKNOWN,0.0,0.0,0.0,69.0,0.9444444444444444,,,,,,,,,0.0,,,NEDz,105.147053479627,2.9604735374450684,0.0,0.0,0.0,,0.0
2026-05-12,09:18:45,,UNKNOWN,0.0,0.0,0.0,69.0,0.9444444444444444,,,,,,,,,0.0,,,NEDz,105.147053479627,2.9604735374450684,0.0,0.0,0.0,,0.0
2026-05-12,09:18:46,,UNKNOWN,0.0,0.0,0.0,69.0,0.9444444444444444,,,,,,,,,0.0,,,NEDz,105.147053479627,2.9604735374450684,0.0,0.0,0.0,,0.0
2026-05-12,09:18:47,,UNKNOWN,0.0,0.0,0.0,69.0,0.9444444444444444,,,,,,,,,0.0,,,NEDz,105.147053479627,2.9604735374450684,0.0,0.0,0.0,,0.0
2026-05-12,09:18:48,,UNKNOWN,0.0,0.0,0.0,69.0,0.9444444444444444,,,,,,,,,0.0,,,NEDz,105.147053479627,2.9604735374450684,0.0,0.0,0.0,,0.0
2026-05-12,09:18:49,,UNKNOWN,0.0,0.0,0.0,69.0,0.9444444444444444,,,,,,,,,0.0,,,NEDz,105.147053479627,0.050078198313713074,0.0,0.0,0.0,,0.0
2026-05-12,09:18:50,,UNKNOWN,0.0,0.0,0.0,69.0,0.9444444444444444,,,,,,,,,0.0,,,NEDz,105.147053479627,0.050078198313713074,0.0,0.0,0.0,,0.0
2026-05-12,09:18:51,,UNKNOWN,0.0,0.0,0.0,69.0,0.9444444444444444,,,,,,,,,0.0,,,NEDz,105.147053479627,0.050078198313713074,0.0,0.0,0.0,,0.0
