meter_number_dvl,timestamp_dvl,cumulative_dist_dvl,increment_dvl,x_dvl,y_dvl,gps_lat,gps_lon,meter_number_ekf,timestamp_ekf,cumulative_dist_ekf,increment_ekf,lat_ekf,lon_ekf
364,2025_10_08_11-36-24,364.0746903400395,1.007581056877143,4.781890869140625,-4.358250141143799,47.6261571,-122.3756243,12367825,2025_10_08_11-36-24,12367825.173782835,1.028724491596222,47.6261433,-122.3756097
365,2025_10_08_11-36-26,365.0201091291256,0.9454187890860908,3.906947374343872,-4.0128045082092285,47.6261429,-122.3756196,12367826,2025_10_08_11-36-26,12367826.123171456,0.9569937251508236,47.6261354,-122.3756051
366,2025_10_08_11-36-33,366.0204905877733,1.0003814586476665,3.490365743637085,-3.9699547290802,47.6261267,-122.3756118,12367827,2025_10_08_11-36-32,12367827.137523806,1.020149601623416,47.6261316,-122.3756041
367,2025_10_08_11-36-38,367.0020804583818,0.9815898706085022,3.7014381885528564,-4.656399726867676,47.6261298,-122.3756147,12367828,2025_10_08_11-36-38,12367828.144301685,1.017770767211914,47.6261334,-122.3756134
368,2025_10_08_11-36-44,368.05587946770225,1.0537990093204712,3.6198384761810303,-4.872433662414551,47.6261268,-122.3756209,12367829,2025_10_08_11-36-43,12367829.145018434,0.9514297433197498,47.6261324,-122.3756157
369,2025_10_08_11-36-47,369.0114545441062,0.9555750764039317,4.088648319244385,-5.700983047485352,47.6261305,-122.3756202,12367830,2025_10_08_11-36-47,12367830.137118516,1.0034724045544863,47.6261367,-122.3756272
370,2025_10_08_11-36-49,370.1150726705846,1.103618126478409,4.695197105407715,-6.620759963989258,47.6261316,-122.3756328,12367831,2025_10_08_11-36-49,12367831.248051738,1.1048172768205404,47.6261422,-122.3756395
371,2025_10_08_11-36-51,371.13577967831066,1.0207070077260596,5.172305107116699,-7.522369861602783,47.6261339,-122.3756413,12367832,2025_10_08_11-36-50,12367832.270042894,0.8954995963722467,47.6261465,-122.3756515
372,2025_10_08_11-36-53,372.14851679141077,1.0127371131001155,5.646626949310303,-8.416171073913574,47.6261389,-122.3756537,12367833,2025_10_08_11-36-52,12367833.280023322,1.028755435720086,47.6261507,-122.3756634
373,2025_10_08_11-36-54,373.06873479953646,0.920218008125687,6.072311878204346,-9.231080055236816,47.6261367,-122.3756625,12367834,2025_10_08_11-36-54,12367834.120801318,1.0854927692562342,47.6261542,-122.3756733
374,2025_10_08_11-36-56,374.0707591492118,1.0020243496753665,6.509036540985107,-10.131324768066406,47.6261474,-122.3756749,12367835,2025_10_08_11-36-56,12367835.122813117,1.0020117983222008,47.6261581,-122.3756853
375,2025_10_08_11-36-59,375.0845768585277,1.0138177093159015,7.240124702453613,-10.122183799743652,47.6261606,-122.375692,12367836,2025_10_08_11-36-58,12367836.204447139,0.8783266749233007,47.626165,-122.3756867
376,2025_10_08_11-37-02,376.1181172258701,1.0335403673423684,7.390958786010742,-9.105072975158691,47.6261613,-122.3756849,12367837,2025_10_08_11-37-01,12367837.259454144,1.0322788152843714,47.6261664,-122.3756729
377,2025_10_08_11-37-04,377.06080656131263,0.9426893354425374,7.695867538452148,-8.216151237487793,47.6261617,-122.3756771,12367838,2025_10_08_11-37-04,12367838.211152699,1.058724194765091,47.6261692,-122.375661
378,2025_10_08_11-37-06,378.031783203189,0.9709766418763479,7.821825981140137,-7.269773960113525,47.6261585,-122.3756636,12367839,2025_10_08_11-37-06,12367839.18376129,0.9708450268954039,47.6261703,-122.3756484
379,2025_10_08_11-37-08,379.00896136086067,0.9771781576716876,7.647222995758057,-6.30893611907959,47.6261532,-122.3756517,12367840,2025_10_08_11-37-08,12367840.16971267,0.9918085765093565,47.6261688,-122.3756355
380,2025_10_08_11-37-10,380.09606093526816,1.087099574407489,7.651297092437744,-5.2234086990356445,47.6261493,-122.3756335,12367841,2025_10_08_11-37-10,12367841.20802014,1.025446841493249,47.6261688,-122.3756217
381,2025_10_08_11-37-12,381.083501328429,0.9874403931608526,7.516985893249512,-4.252677917480469,47.6261606,-122.3756161,12367842,2025_10_08_11-37-12,12367842.206696128,0.9982324428856373,47.6261678,-122.3756086
382,2025_10_08_11-37-14,382.1209837070227,1.0374823785936655,7.312990665435791,-3.241129159927368,47.6261595,-122.3756054,12367843,2025_10_08_11-37-14,12367843.243324876,1.010867414996028,47.6261659,-122.3755952
383,2025_10_08_11-37-16,383.0746152412203,0.9536315341975978,7.150802135467529,-2.3043055534362793,47.626165,-122.375591,12367844,2025_10_08_11-37-16,12367844.19992336,0.9898067805916071,47.6261644,-122.3755827
384,2025_10_08_11-37-18,384.06508219643996,0.9904669552196879,7.028259754180908,-1.3225739002227783,47.6261635,-122.3755773,12367845,2025_10_08_11-37-18,12367845.194296457,0.9928474184125662,47.6261633,-122.3755696
385,2025_10_08_11-37-20,385.04158872009964,0.9765065236596797,6.935527801513672,-0.3519362509250641,47.6261676,-122.3755628,12367846,2025_10_08_11-37-20,12367846.177546479,0.9702559765428305,47.6261625,-122.3755566
386,2025_10_08_11-37-22,386.0112306405454,0.9696419204457811,6.624050617218018,0.5494809746742249,47.6261556,-122.3755489,12367847,2025_10_08_11-37-22,12367847.14576781,0.9823157154023647,47.6261598,-122.3755446
387,2025_10_08_11-37-24,387.00804324853135,0.9968126079859303,6.394057273864746,1.5139561891555786,47.6261485,-122.3755356,12367848,2025_10_08_11-37-24,12367848.148809139,1.0019409768283367,47.6261577,-122.3755317
388,2025_10_08_11-37-26,388.12020651044173,1.112163261910382,6.480888366699219,2.614197254180908,47.6261459,-122.3755166,12367849,2025_10_08_11-37-26,12367849.22594039,1.0711706895381212,47.6261582,-122.3755176
389,2025_10_08_11-37-28,389.1453101600296,1.0251036495878907,6.654919624328613,3.619271993637085,47.6261552,-122.3755069,12367850,2025_10_08_11-37-28,12367850.261448408,1.0340703781694174,47.6261598,-122.3755041
390,2025_10_08_11-37-30,390.14361418703743,0.998304027007805,6.571993827819824,4.611268997192383,47.6261556,-122.375496,12367851,2025_10_08_11-37-30,12367851.262621095,0.8858089130371809,47.6261592,-122.3754909
391,2025_10_08_11-37-32,391.01203067371637,0.8684164866789388,6.424398899078369,5.45878267288208,47.6261477,-122.3754781,12367852,2025_10_08_11-37-32,12367852.170553004,1.032219560816884,47.6261578,-122.3754791
