Date,Time,Latitude,Longitude,EKFlat,EKFlon,DVLx,DVLy,DVLlat,DVLlon,Altitude,Depth,Depth_Source,Heading,Velocity_mps,Width,Area_m2,Distance,NEDz,VFR_alt
2025-09-02,09:29:30,47.6208971,-122.3653738,,,12.838029623031616,34.695088773965836,47.62094072446365,-122.36540982207259,0.7951336467967314,-11.456106185913086,NEDz,34.71514767286521,0.08448120429713459,1.3854601421458232,1.3855266042689276,0.08479945031805552,11.456106185913086,0.0
2025-09-02,09:29:31,47.6208955,-122.3653779,,,12.90507960319519,34.73241177201271,47.620941327523596,-122.3654093255605,0.7934920220147996,-11.41312026977539,NEDz,34.05635403623905,0.08174918213533977,1.3825997353288209,1.3797133488266726,0.07673790473516157,11.41312026977539,0.0
2025-09-02,09:29:32,47.6208947,-122.3653784,,,12.974129438400269,34.780999571084976,47.6209419485706,-122.36540867919149,0.7949732226483962,-11.379050254821777,NEDz,34.014697985264355,0.08625942663872306,1.3851806152206931,1.3848997145681279,0.08443135650062306,11.379050254821777,0.0
2025-09-02,09:29:33,47.6208929,-122.36538,,,13.048566579818726,34.82708874344826,47.620942618072036,-122.36540806606197,0.8103723424546262,-11.355860710144043,NEDz,34.105214154987316,0.08942626793175301,1.4120124148830577,1.438996219922955,0.08755055586164841,11.355860710144043,0.0
2025-09-02,09:29:34,47.620895,-122.3653756,,,13.12714171409607,34.88011685013771,47.62094332479135,-122.36540736062301,0.815544038547753,-11.33685302734375,NEDz,34.464996638686486,0.09365152768366078,1.4210237035301723,1.457467996248738,0.09479468247623715,11.33685302734375,0.0
2025-09-02,09:29:35,47.6208961,-122.3653727,,,13.20240569114685,34.94461193680763,47.620944001729505,-122.3654065026375,0.8174456474573716,-11.320627212524414,NEDz,37.96909286764007,0.09828078090820623,1.424337112993902,1.464259983597781,0.09911751836109126,11.320627212524414,0.0
2025-09-02,09:29:36,47.6208961,-122.3653732,,,13.296669721603394,35.001389890909195,47.62094484955766,-122.36540574731387,0.8041714085851397,-11.306178092956543,NEDz,38.18606865449948,0.11423111762319292,1.4012077573832014,1.4171788734569233,0.1100429166728654,11.306178092956543,0.0
2025-09-02,09:29:37,47.6208966,-122.365372,,,13.391299962997437,35.03974285721779,47.62094570067958,-122.36540523709996,0.7885561129626106,-11.288544654846191,NEDz,37.68349591096997,0.10460447814853434,1.3739992877378855,1.3627671245251045,0.10210696651533122,11.288544654846191,0.0
2025-09-02,09:29:38,47.6208941,-122.3653757,,,13.472357511520386,35.103936582803726,47.62094642972618,-122.36540438312346,0.7948420838305824,-11.272123336791992,NEDz,37.89934476934669,0.1042455205791875,1.3849521157654072,1.384765331239566,0.10339806853685862,11.272123336791992,0.0
2025-09-02,09:29:39,47.6208917,-122.3653777,,,13.533876180648804,35.18211117386818,47.62094698303648,-122.3654033431579,0.7674073908064101,-11.25108528137207,NEDz,37.61657102380621,0.1029240915936137,1.337149241556627,1.2905720940013075,0.0994777027249134,11.25108528137207,0.0
2025-09-02,09:29:40,47.6208917,-122.3653777,,,13.574908018112183,35.27275601029396,47.62094735208442,-122.3654021372992,0.7770429849624634,-11.22180461883545,NEDz,37.34172727318274,0.09641372592699143,1.3539385344042956,1.3233723585482378,0.09949923646077785,11.22180461883545,0.0
2025-09-02,09:29:41,47.6209035,-122.3653585,,,13.61816668510437,35.370522886514664,47.62094774116088,-122.36540083669517,0.7701058009314159,-11.1825590133667,NEDz,37.64650530358512,0.0987517237663269,1.3418510167744402,1.2997787310871227,0.1069096551107301,11.1825590133667,0.0
