"SU","transect","min","Date","Time","Mode_num","Mode","V","A","W","log_W","Ah","mAh","Wh","Latitude","Longitude","EKFlat","EKFlon","DVLx","DVLy","DVLlat","DVLlon","Altitude","Depth","Depth_std","Depth_Source","Heading","Velocity_mps","Width","Area_m2","Distance","NEDz","VFR_alt"
57,"0",0.95,"2026-05-12","09:17:55",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.216316714882851,0,0,0,NA,0
58,"0",0.97,"2026-05-12","09:17:57",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.216316714882851,0,0,0,NA,0
59,"0",0.98,"2026-05-12","09:17:58",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.216316714882851,0,0,0,NA,0
60,"0",1,"2026-05-12","09:17:59",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.216316714882851,0,0,0,NA,0
61,"0",1.02,"2026-05-12","09:18:00",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.216316714882851,0,0,0,NA,0
62,"0",1.03,"2026-05-12","09:18:01",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.216316714882851,0,0,0,NA,0
63,"0",1.05,"2026-05-12","09:18:02",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.216316714882851,0,0,0,NA,0
64,"0",1.07,"2026-05-12","09:18:03",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.216316714882851,0,0,0,NA,0
65,"0",1.08,"2026-05-12","09:18:04",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.216316714882851,0,0,0,NA,0
66,"0",1.1,"2026-05-12","09:18:05",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.216316714882851,0,0,0,NA,0
