"","X","time","date","flight_time","depth","heading","battery_remaining","lat","lon","satellite_count","temp","seq","avg_dist","avg_conf","EucDIS","clock","clock_min","lat_smooth","lon_smooth","EucSmooth","heading_degrees","radians","sim_x","sim_y","sim_steps","width","height","area"
"101",101,"14:07:07","10/6/2022","00:25:24",-6.15696,273,88,47.6303253,-122.3985137,10,55.02,25.4333333333333,0.964,100,0,101,1.68333333333333,47.6303338828292,-122.398515890962,0.22671788573483,273,4.76474938333333,47.63037369719,-122.398490628541,2.87577815067496e-06,2.70295631175038,1.18147991953379,3.19348860571018
"102",102,"14:07:08","10/6/2022","00:25:25",-6.15696,270,88,47.6303215,-122.3985214,10,55.02,25.45,0.960555555555555,100,0.716254969909253,102,1.7,47.6303343752265,-122.398518753719,0.221928620312744,270,4.7123895,47.6303736971905,-122.398491490168,8.61626363905011e-07,2.69329844572176,1.17725840299327,3.17070822699465
"103",103,"14:07:09","10/6/2022","00:25:26",-6.15696,271,88,47.6303215,-122.3985214,10,55.02,25.4666666666667,0.952,100,0,103,1.71666666666667,47.6303346987969,-122.398521573247,0.214858522227329,271,4.72984279444444,47.6303736971905,-122.398491490168,0,2.66930955268294,1.16677270061843,3.11447751557045
"104",104,"14:07:10","10/6/2022","00:25:27",-6.18744,270,88,47.6303215,-122.3985214,10,55.02,25.4833333333333,0.947444444444444,100,0,104,1.73333333333333,47.6303347753705,-122.398524226768,0.199537238011879,270,4.7123895,47.6303736971921,-122.398494733762,3.24359369507424e-06,2.65653624599994,1.16118940454871,3.08474174165473
"105",105,"14:07:11","10/6/2022","00:25:28",-6.15696,270,88,47.6303215,-122.3985214,10,55.02,25.5,0.944666666666667,100,0,105,1.75,47.6303347277239,-122.398526734264,0.188459355827023,270,4.7123895,47.630373697193,-122.398496457014,1.72325274100447e-06,2.64874764436396,1.15778495572571,3.06668017415851
"106",106,"14:07:12","10/6/2022","00:25:29",-6.18744,272,88,47.6303176,-122.3985214,10,55.02,25.5166666666667,0.942111111111111,100,0.433451629844626,106,1.76666666666667,47.6303343726523,-122.398529115872,0.183227408525431,272,4.74729608888889,47.6303737830357,-122.398498915191,2.45967477221733e-06,2.64158213085886,1.15465286280855,3.05011036974009
"107",107,"14:07:13","10/6/2022","00:25:30",-6.15696,273,88,47.6303176,-122.3985214,10,55.02,25.5333333333333,0.940555555555555,100,0,107,1.78333333333333,47.630333835732,-122.398531362096,0.178996011069743,273,4.76474938333333,47.6303737830357,-122.398498915191,0,2.63722051394271,1.15274637146767,3.04004637820756
"108",108,"14:07:14","10/6/2022","00:25:31",-6.15696,273,88,47.6303176,-122.398529,10,55.02,25.55,0.948,100,0.570978526205863,108,1.8,47.6303331889398,-122.398533460292,0.173251961849667,273,4.76474938333333,47.6303738451731,-122.398500100829,1.18726576597945e-06,2.65809396632713,1.16187029431331,3.08836041896894
"109",109,"14:07:15","10/6/2022","00:25:32",-6.18744,274,88,47.6303176,-122.398529,10,55.02,25.5666666666667,0.954333333333333,100,0,109,1.81666666666667,47.6303323251336,-122.398535431105,0.17646542609641,274,4.78220267777778,47.6303739553118,-122.398501675875,1.57889201683918e-06,2.67585197805717,1.16963243762975,3.12976327183139
"110",110,"14:07:16","10/6/2022","00:25:33",-6.18744,274,88,47.6303176,-122.398529,10,55.02,25.5833333333333,0.9571,100,0,110,1.83333333333333,47.6303312646887,-122.398537295333,0.183048721406265,274,4.78220267777778,47.6303740393104,-122.398502877101,1.20415945778939e-06,2.6836094252866,1.17302326865746,3.14793629984965
"111",111,"14:07:17","10/6/2022","00:25:34",-6.18744,274,88,47.6303176,-122.398529,10,55.02,25.6,0.959666666666667,100,0,111,1.85,47.6303300128289,-122.398539185341,0.19879738076623,274,4.78220267777778,47.6303741981987,-122.398505149293,2.27774010601114e-06,2.69080609319825,1.17616897936991,3.16484265631932
"112",112,"14:07:18","10/6/2022","00:25:35",-6.18744,273,88,47.6303176,-122.398529,10,55.02,25.6166666666667,0.957888888888889,100,0,112,1.86666666666667,47.6303280745164,-122.398540696312,0.243505457422384,273,4.76474938333333,47.6303742936407,-122.398506970416,1.82362276841992e-06,2.68582138815122,1.17399013212319,3.15312780633494
"113",113,"14:07:19","10/6/2022","00:25:36",-6.18744,273,88,47.6303176,-122.398529,10,55.02,25.6333333333333,0.947555555555555,100,0,113,1.88333333333333,47.6303257939419,-122.398541961039,0.270690760673602,273,4.76474938333333,47.6303744307433,-122.398509586463,2.61963737978854e-06,2.65684779006537,1.16132558250163,3.08546530741584
"114",114,"14:07:20","10/6/2022","00:25:37",-6.15696,273,88,47.6303176,-122.398529,10,55.02,25.65,0.935888888888889,100,0,114,1.9,47.6303225359061,-122.398542746522,0.366879945234217,273,4.76474938333333,47.6303744307433,-122.398509586463,0,2.62413566319426,1.14702689744503,3.00995418822858
"115",115,"14:07:21","10/6/2022","00:25:38",-6.15696,273,88,47.6303138,-122.3985443,10,55.02,25.6666666666667,0.941,100,1.22460204242491,115,1.91666666666667,47.6303188156242,-122.398543372274,0.416141523816468,273,4.76474938333333,47.6303745322761,-122.398511523805,1.93999999709149e-06,2.63846669020446,1.15329108327935,3.04292010734239
"116",116,"14:07:22","10/6/2022","00:25:39",-6.15696,273,88,47.6303138,-122.3985443,10,55.02,25.6833333333333,0.954555555555555,100,0,116,1.93333333333333,47.6303147875536,-122.39854378293,0.448747401900976,273,4.76474938333333,47.6303746391258,-122.398513562599,2.04159252431292e-06,2.67647506618804,1.16990479353559,3.13122100971188
"117",117,"14:07:23","10/6/2022","00:25:40",-6.18744,273,88,47.6303138,-122.3985443,10,55.02,25.7,0.960666666666667,100,0,117,1.95,47.6303115522404,-122.398544524198,0.363864435572275,273,4.76474938333333,47.6303747519641,-122.398515715659,2.15601483872016e-06,2.6936099897872,1.17739458094619,3.17144180515797
"118",118,"14:07:24","10/6/2022","00:25:41",-6.18744,273,88,47.6303138,-122.3985443,10,55.02,25.7166666666667,0.952333333333333,100,0,118,1.96666666666667,47.6303090670896,-122.398545543005,0.286612765431136,273,4.76474938333333,47.6303747519641,-122.398515715659,0,2.67024418487926,1.16718123447719,3.11665890406291
"119",119,"14:07:25","10/6/2022","00:25:42",-6.18744,273,88,47.6303138,-122.3985519,10,55.02,25.7333333333333,0.9403,100,0.570978566457502,119,1.98333333333333,47.6303072389594,-122.398546788479,0.22369184076421,273,4.76474938333333,47.6303749019389,-122.398518577321,2.86558894138311e-06,2.6365039625922,1.15243316217596,3.03839459869956
"120",120,"14:07:26","10/6/2022","00:25:43",-6.15696,273,88,47.6303138,-122.3985519,10,55,25.75,0.925,100,0,120,2,47.6303059953318,-122.398548243157,0.17620523447315,273,4.76474938333333,47.6303750343667,-122.398521104169,2.53031618536886e-06,2.59360434478122,1.13368145805887,2.94032115521941
"121",121,"14:07:27","10/6/2022","00:25:44",-6.15696,273,88,47.63031,-122.3985671,10,55.02,25.7666666666667,0.914444444444445,100,1.21755293173711,121,2.01666666666667,47.6303051258847,-122.398549891697,0.157089693567445,273,4.76474938333333,47.6303750725006,-122.3985218318,7.2862884413046e-07,2.5640076585645,1.12074455253148,2.87359761598515
"122",122,"14:07:28","10/6/2022","00:25:45",-6.15696,273,88,47.6303176,-122.3985595,10,55.02,25.7833333333333,0.923222222222222,100,1.01955496345611,122,2.03333333333333,47.6303047716448,-122.398551720896,0.142953908941218,273,4.76474938333333,47.6303752068342,-122.398524395011,2.56672943509509e-06,2.58861963973419,1.13150261081215,2.92902988075886
"123",123,"14:07:29","10/6/2022","00:25:46",-6.12648,274,88,47.6303176,-122.3985595,10,55.02,25.8,0.937666666666667,100,0,123,2.05,47.630304715731,-122.398553575176,0.139448322353063,274,4.78220267777778,47.6303753912673,-122.398527032507,2.64393646183562e-06,2.62912036824129,1.14920574469175,3.02140023066899
"124",124,"14:07:30","10/6/2022","00:25:47",-6.12648,275,88,47.6303176,-122.3985595,10,55.02,25.8166666666667,0.948,100,0,124,2.06666666666667,47.630304903764,-122.398555555353,0.150228935870111,275,4.79965597222222,47.6303754571611,-122.398527785673,7.56042318362359e-07,2.65809396632713,1.16187029431331,3.08836041896894
"125",125,"14:07:31","10/6/2022","00:25:48",-6.12648,274,88,47.6303176,-122.3985595,10,55.02,25.8333333333333,0.973222222222222,100,0,125,2.08333333333333,47.6303052854392,-122.398557651517,0.163095326493253,274,4.78220267777778,47.6303757396391,-122.398531825265,4.04945674909297e-06,2.72881446918183,1.19278268962615,3.25488266204145
"126",126,"14:07:32","10/6/2022","00:25:49",-6.12648,271,88,47.6303176,-122.3985595,10,55.02,25.85,0.992333333333333,100,0,126,2.1,47.6303059096994,-122.398559826005,0.177489149212147,271,4.72984279444444,47.630375754511,-122.39853267725,8.52115015170537e-07,2.78240004843737,1.21620529752838,3.38396967875276
"127",127,"14:07:33","10/6/2022","00:25:50",-6.12648,271,88,47.6303176,-122.3985748,10,55.02,25.8666666666667,0.986444444444444,100,1.14946992539725,127,2.11666666666667,47.6303065782676,-122.398562039851,0.182167078033915,271,4.72984279444444,47.6303757811723,-122.39853420463,1.52761251721665e-06,2.76588821296909,1.20898786602363,3.3439252882574
"128",128,"14:07:34","10/6/2022","00:25:51",-6.12648,271,88,47.6303176,-122.3985748,10,55.02,25.8833333333333,0.969444444444444,100,0,128,2.13333333333333,47.6303071837906,-122.398564146508,0.171984568546134,271,4.72984279444444,47.6303757811723,-122.39853420463,0,2.71822197095689,1.18815263922687,3.22966260879689
"129",129,"14:07:35","10/6/2022","00:25:52",-6.12648,271,88,47.6303215,-122.3985671,10,55.02,25.9,0.957333333333333,100,0.722864157314219,129,2.15,47.6303078434684,-122.398566506253,0.191847181230051,271,4.72984279444444,47.6303758067847,-122.398535671921,1.46751490854175e-06,2.68426366782402,1.17330924235859,3.14947137038529
"130",130,"14:07:36","10/6/2022","00:25:53",-6.12648,271,88,47.6303253,-122.3985748,10,55.02,25.9166666666667,0.9691,100,0.716254966591472,130,2.16666666666667,47.6303084681367,-122.398568836564,0.188336727589139,271,4.72984279444444,47.6303758278703,-122.398536879876,1.20813906352902e-06,2.71725618435403,1.18773048757282,3.22736801270307
"131",131,"14:07:37","10/6/2022","00:25:54",-6.12648,271,88,47.6303253,-122.3985748,10,55.02,25.9333333333333,0.967111111111111,100,0,131,2.18333333333333,47.6303091694834,-122.398571414798,0.208795424261797,271,4.72984279444444,47.6303758278703,-122.398536879876,0,2.71167954558267,1.18529290221555,3.21413451846223
"132",132,"14:07:38","10/6/2022","00:25:55",-6.12648,271,88,47.6303253,-122.3985748,10,55.02,25.95,0.957222222222222,100,0,132,2.2,47.630309985603,-122.398574018851,0.21564338167606,271,4.72984279444444,47.6303758485915,-122.398538066961,1.18726576214924e-06,2.68395212375858,1.17317306440567,3.14874033774796
"133",133,"14:07:39","10/6/2022","00:25:56",-6.096,271,88,47.6303253,-122.3985824,10,55.02,25.9666666666667,0.957555555555555,100,0.570978439690517,133,2.21666666666667,47.6303102732743,-122.398576238866,0.16982377297114,271,4.72984279444444,47.6303758485915,-122.398538066961,0,2.6848867559549,1.17358159826443,3.15093369021255
"134",134,"14:07:40","10/6/2022","00:25:57",-6.12648,270,88,47.6303253,-122.39859,10,55,25.9833333333333,0.965444444444444,100,0.570978439373575,134,2.23333333333333,47.6303103821884,-122.398578653972,0.181847236142754,270,4.7123895,47.6303758485923,-122.398539498743,1.43178210916417e-06,2.70700638460108,1.18325023292175,3.20306593509989
"135",135,"14:07:41","10/6/2022","00:25:58",-6.096,270,88,47.6303253,-122.3985977,10,55.02,26,0.970666666666667,100,0.578491314961189,135,2.25,47.6303101449609,-122.398581027862,0.180285817476092,270,4.7123895,47.6303758485923,-122.398539498743,0,2.72164895567673,1.18965059670899,3.23781130415321
